Red_x,Red_y,Green_x,Green_y,Yellow_x,Yellow_y,Brown_x,Brown_y,Blue_x,Blue_y,Pink_x,Pink_y,Purple_x,Purple_y,Gray_x,Gray_y,Orange_x,Orange_y
5,0.7429,5,0.9536,3,0.1500,4,0.0214,5,0.0964,4.5,0.1143,4,0.0107,4,0.1286,5,0.3750
6,1.1500,6,1.3321,4,0.8821,5,0.3250,6,0.1893,4.75,0.1393,5,0.0464,5,0.0643,6,0.4071
7,1.0214,7,1.2536,5,0.8500,6,0.7250,7,0.2643,5,0.1679,6,0.2107,6,0.0429,7,0.5357
,,,,,,6.5,1.0321,8,0.3607,5.5,0.2321,6.5,0.2571,,,8,0.7929
,,,,,,,,9,0.4571,6,0.0786,,,,,9,0.8929
,,,,,,,,,,7,0.2107,,,,,,
,,,,,,,,,,8,0.3750,,,,,,
